,place_name,review,rating
142,아키비스트,인테리어가 멋져요,363
143,아키비스트,매장이 청결해요,
144,아키비스트,뷰가 좋아요,
145,아키비스트,음료가 맛있어요,508
146,아키비스트,사진이 잘 나와요,
147,아키비스트,특별한 메뉴가 있어요,381
148,아키비스트,대화하기 좋아요,
149,아키비스트,가성비가 좋아요,
150,아키비스트,집중하기 좋아요,
151,아키비스트,화장실이 깨끗해요,
152,아키비스트,주차하기 편해요,
153,아키비스트,좌석이 편해요,
154,아키비스트,음식이 맛있어요,
155,아키비스트,매장이 넓어요,
156,아키비스트,단체모임 하기 좋아요,
157,아키비스트,특별한 날 가기 좋아요,
158,아키비스트,재료가 신선해요,
159,아키비스트,양이 많아요,
160,아키비스트,혼밥하기 좋아요,
161,산모퉁이,커피가 맛있어요,149
162,산모퉁이,디저트가 맛있어요,
163,산모퉁이,빵이 맛있어요,
164,산모퉁이,친절해요,
165,산모퉁이,인테리어가 멋져요,76
166,산모퉁이,매장이 청결해요,
167,산모퉁이,뷰가 좋아요,335
168,산모퉁이,음료가 맛있어요,
169,산모퉁이,사진이 잘 나와요,122
170,산모퉁이,특별한 메뉴가 있어요,
171,산모퉁이,대화하기 좋아요,55
172,산모퉁이,가성비가 좋아요,
173,산모퉁이,집중하기 좋아요,
174,산모퉁이,화장실이 깨끗해요,
175,산모퉁이,주차하기 편해요,
176,산모퉁이,좌석이 편해요,
177,산모퉁이,음식이 맛있어요,
178,산모퉁이,매장이 넓어요,
179,산모퉁이,단체모임 하기 좋아요,
180,산모퉁이,특별한 날 가기 좋아요,
181,산모퉁이,재료가 신선해요,
182,산모퉁이,양이 많아요,
183,산모퉁이,혼밥하기 좋아요,
184,포비 광화문점,커피가 맛있어요,793
185,포비 광화문점,디저트가 맛있어요,
186,포비 광화문점,빵이 맛있어요,1599
187,포비 광화문점,친절해요,518
188,포비 광화문점,인테리어가 멋져요,
189,포비 광화문점,매장이 청결해요,267
190,포비 광화문점,뷰가 좋아요,
191,포비 광화문점,음료가 맛있어요,
192,포비 광화문점,사진이 잘 나와요,
193,포비 광화문점,특별한 메뉴가 있어요,340
194,포비 광화문점,대화하기 좋아요,
195,포비 광화문점,가성비가 좋아요,
196,포비 광화문점,집중하기 좋아요,
197,포비 광화문점,화장실이 깨끗해요,
198,포비 광화문점,주차하기 편해요,
199,포비 광화문점,좌석이 편해요,
200,포비 광화문점,음식이 맛있어요,
201,포비 광화문점,매장이 넓어요,
202,포비 광화문점,단체모임 하기 좋아요,
203,포비 광화문점,특별한 날 가기 좋아요,
204,포비 광화문점,재료가 신선해요,
205,포비 광화문점,양이 많아요,
206,포비 광화문점,혼밥하기 좋아요,
207,차마시는 뜰,커피가 맛있어요,
208,차마시는 뜰,디저트가 맛있어요,
209,차마시는 뜰,빵이 맛있어요,
210,차마시는 뜰,친절해요,221
211,차마시는 뜰,인테리어가 멋져요,165
212,차마시는 뜰,매장이 청결해요,
213,차마시는 뜰,뷰가 좋아요,193
214,차마시는 뜰,음료가 맛있어요,
215,차마시는 뜰,사진이 잘 나와요,115
216,차마시는 뜰,특별한 메뉴가 있어요,
217,차마시는 뜰,대화하기 좋아요,
218,차마시는 뜰,가성비가 좋아요,
219,차마시는 뜰,집중하기 좋아요,
220,차마시는 뜰,화장실이 깨끗해요,
221,차마시는 뜰,주차하기 편해요,
222,차마시는 뜰,좌석이 편해요,
223,차마시는 뜰,음식이 맛있어요,
224,차마시는 뜰,매장이 넓어요,
225,차마시는 뜰,단체모임 하기 좋아요,
226,차마시는 뜰,특별한 날 가기 좋아요,
227,차마시는 뜰,재료가 신선해요,
228,차마시는 뜰,양이 많아요,
229,차마시는 뜰,혼밥하기 좋아요,
230,테라로사 광화문점,커피가 맛있어요,514
231,테라로사 광화문점,디저트가 맛있어요,123
232,테라로사 광화문점,빵이 맛있어요,
233,테라로사 광화문점,친절해요,
234,테라로사 광화문점,인테리어가 멋져요,192
235,테라로사 광화문점,매장이 청결해요,123
236,테라로사 광화문점,뷰가 좋아요,
237,테라로사 광화문점,음료가 맛있어요,136
238,테라로사 광화문점,사진이 잘 나와요,
239,테라로사 광화문점,특별한 메뉴가 있어요,
240,테라로사 광화문점,대화하기 좋아요,
241,테라로사 광화문점,가성비가 좋아요,
242,테라로사 광화문점,집중하기 좋아요,
243,테라로사 광화문점,화장실이 깨끗해요,
244,테라로사 광화문점,주차하기 편해요,
245,테라로사 광화문점,좌석이 편해요,
246,테라로사 광화문점,음식이 맛있어요,
247,테라로사 광화문점,매장이 넓어요,
248,테라로사 광화문점,단체모임 하기 좋아요,
249,테라로사 광화문점,특별한 날 가기 좋아요,
250,테라로사 광화문점,재료가 신선해요,
251,테라로사 광화문점,양이 많아요,
252,테라로사 광화문점,혼밥하기 좋아요,
253,카페 레이어드 안국점,커피가 맛있어요,253
254,카페 레이어드 안국점,디저트가 맛있어요,
255,카페 레이어드 안국점,빵이 맛있어요,878
256,카페 레이어드 안국점,친절해요,261
257,카페 레이어드 안국점,인테리어가 멋져요,238
258,카페 레이어드 안국점,매장이 청결해요,
259,카페 레이어드 안국점,뷰가 좋아요,
260,카페 레이어드 안국점,음료가 맛있어요,
261,카페 레이어드 안국점,사진이 잘 나와요,
262,카페 레이어드 안국점,특별한 메뉴가 있어요,273
263,카페 레이어드 안국점,대화하기 좋아요,
264,카페 레이어드 안국점,가성비가 좋아요,
265,카페 레이어드 안국점,집중하기 좋아요,
266,카페 레이어드 안국점,화장실이 깨끗해요,
267,카페 레이어드 안국점,주차하기 편해요,
268,카페 레이어드 안국점,좌석이 편해요,
269,카페 레이어드 안국점,음식이 맛있어요,
270,카페 레이어드 안국점,매장이 넓어요,
271,카페 레이어드 안국점,단체모임 하기 좋아요,
272,카페 레이어드 안국점,특별한 날 가기 좋아요,
273,카페 레이어드 안국점,재료가 신선해요,
274,카페 레이어드 안국점,양이 많아요,
275,카페 레이어드 안국점,혼밥하기 좋아요,
276,프릳츠 원서점,커피가 맛있어요,739
277,프릳츠 원서점,디저트가 맛있어요,478
278,프릳츠 원서점,빵이 맛있어요,
279,프릳츠 원서점,친절해요,
280,프릳츠 원서점,인테리어가 멋져요,306
281,프릳츠 원서점,매장이 청결해요,
282,프릳츠 원서점,뷰가 좋아요,184
283,프릳츠 원서점,음료가 맛있어요,194
284,프릳츠 원서점,사진이 잘 나와요,
285,프릳츠 원서점,특별한 메뉴가 있어요,
286,프릳츠 원서점,대화하기 좋아요,
287,프릳츠 원서점,가성비가 좋아요,
288,프릳츠 원서점,집중하기 좋아요,
289,프릳츠 원서점,화장실이 깨끗해요,
290,프릳츠 원서점,주차하기 편해요,
291,프릳츠 원서점,좌석이 편해요,
292,프릳츠 원서점,음식이 맛있어요,
293,프릳츠 원서점,매장이 넓어요,
294,프릳츠 원서점,단체모임 하기 좋아요,
295,프릳츠 원서점,특별한 날 가기 좋아요,
296,프릳츠 원서점,재료가 신선해요,
297,프릳츠 원서점,양이 많아요,
298,프릳츠 원서점,혼밥하기 좋아요,
299,나무사이로,커피가 맛있어요,106
300,나무사이로,디저트가 맛있어요,
301,나무사이로,빵이 맛있어요,
302,나무사이로,친절해요,31
303,나무사이로,인테리어가 멋져요,36
304,나무사이로,매장이 청결해요,
305,나무사이로,뷰가 좋아요,
306,나무사이로,음료가 맛있어요,22
307,나무사이로,사진이 잘 나와요,
308,나무사이로,특별한 메뉴가 있어요,
309,나무사이로,대화하기 좋아요,24
310,나무사이로,가성비가 좋아요,
311,나무사이로,집중하기 좋아요,
312,나무사이로,화장실이 깨끗해요,
313,나무사이로,주차하기 편해요,
314,나무사이로,좌석이 편해요,
315,나무사이로,음식이 맛있어요,
316,나무사이로,매장이 넓어요,
317,나무사이로,단체모임 하기 좋아요,
318,나무사이로,특별한 날 가기 좋아요,
319,나무사이로,재료가 신선해요,
320,나무사이로,양이 많아요,
321,나무사이로,혼밥하기 좋아요,
322,포비브라이트 광화문점,커피가 맛있어요,265
323,포비브라이트 광화문점,디저트가 맛있어요,
324,포비브라이트 광화문점,빵이 맛있어요,257
325,포비브라이트 광화문점,친절해요,83
326,포비브라이트 광화문점,인테리어가 멋져요,74
327,포비브라이트 광화문점,매장이 청결해요,
328,포비브라이트 광화문점,뷰가 좋아요,72
329,포비브라이트 광화문점,음료가 맛있어요,
330,포비브라이트 광화문점,사진이 잘 나와요,
331,포비브라이트 광화문점,특별한 메뉴가 있어요,
332,포비브라이트 광화문점,대화하기 좋아요,
333,포비브라이트 광화문점,가성비가 좋아요,
334,포비브라이트 광화문점,집중하기 좋아요,
335,포비브라이트 광화문점,화장실이 깨끗해요,
336,포비브라이트 광화문점,주차하기 편해요,
337,포비브라이트 광화문점,좌석이 편해요,
338,포비브라이트 광화문점,음식이 맛있어요,
339,포비브라이트 광화문점,매장이 넓어요,
340,포비브라이트 광화문점,단체모임 하기 좋아요,
341,포비브라이트 광화문점,특별한 날 가기 좋아요,
342,포비브라이트 광화문점,재료가 신선해요,
343,포비브라이트 광화문점,양이 많아요,
344,포비브라이트 광화문점,혼밥하기 좋아요,
345,개뿔,커피가 맛있어요,3
346,개뿔,디저트가 맛있어요,
347,개뿔,빵이 맛있어요,
348,개뿔,친절해요,4
349,개뿔,인테리어가 멋져요,4
350,개뿔,매장이 청결해요,
351,개뿔,뷰가 좋아요,
352,개뿔,음료가 맛있어요,
353,개뿔,사진이 잘 나와요,6
354,개뿔,특별한 메뉴가 있어요,
355,개뿔,대화하기 좋아요,
356,개뿔,가성비가 좋아요,
357,개뿔,집중하기 좋아요,
358,개뿔,화장실이 깨끗해요,
359,개뿔,주차하기 편해요,
360,개뿔,좌석이 편해요,2
361,개뿔,음식이 맛있어요,
362,개뿔,매장이 넓어요,
363,개뿔,단체모임 하기 좋아요,
364,개뿔,특별한 날 가기 좋아요,
365,개뿔,재료가 신선해요,
366,개뿔,양이 많아요,
367,개뿔,혼밥하기 좋아요,
368,H라운지,커피가 맛있어요,
369,H라운지,디저트가 맛있어요,
370,H라운지,빵이 맛있어요,
371,H라운지,친절해요,177
372,H라운지,인테리어가 멋져요,338
373,H라운지,매장이 청결해요,
374,H라운지,뷰가 좋아요,
375,H라운지,음료가 맛있어요,
376,H라운지,사진이 잘 나와요,
377,H라운지,특별한 메뉴가 있어요,
378,H라운지,대화하기 좋아요,
379,H라운지,가성비가 좋아요,
380,H라운지,집중하기 좋아요,
381,H라운지,화장실이 깨끗해요,
382,H라운지,주차하기 편해요,
383,H라운지,좌석이 편해요,
384,H라운지,음식이 맛있어요,476
385,H라운지,매장이 넓어요,331
386,H라운지,단체모임 하기 좋아요,182
387,H라운지,특별한 날 가기 좋아요,
388,H라운지,재료가 신선해요,
389,H라운지,양이 많아요,
390,H라운지,혼밥하기 좋아요,
391,청수당,커피가 맛있어요,249
392,청수당,디저트가 맛있어요,288
393,청수당,빵이 맛있어요,
394,청수당,친절해요,
395,청수당,인테리어가 멋져요,308
396,청수당,매장이 청결해요,
397,청수당,뷰가 좋아요,
398,청수당,음료가 맛있어요,200
399,청수당,사진이 잘 나와요,184
400,청수당,특별한 메뉴가 있어요,
401,청수당,대화하기 좋아요,
402,청수당,가성비가 좋아요,
403,청수당,집중하기 좋아요,
404,청수당,화장실이 깨끗해요,
405,청수당,주차하기 편해요,
406,청수당,좌석이 편해요,
407,청수당,음식이 맛있어요,
408,청수당,매장이 넓어요,
409,청수당,단체모임 하기 좋아요,
410,청수당,특별한 날 가기 좋아요,
411,청수당,재료가 신선해요,
412,청수당,양이 많아요,
413,청수당,혼밥하기 좋아요,
414,토즈모임센터 광화문점,커피가 맛있어요,
415,토즈모임센터 광화문점,디저트가 맛있어요,
416,토즈모임센터 광화문점,빵이 맛있어요,
417,토즈모임센터 광화문점,친절해요,
418,토즈모임센터 광화문점,인테리어가 멋져요,
419,토즈모임센터 광화문점,매장이 청결해요,
420,토즈모임센터 광화문점,뷰가 좋아요,
421,토즈모임센터 광화문점,음료가 맛있어요,
422,토즈모임센터 광화문점,사진이 잘 나와요,
423,토즈모임센터 광화문점,특별한 메뉴가 있어요,
424,토즈모임센터 광화문점,대화하기 좋아요,
425,토즈모임센터 광화문점,가성비가 좋아요,
426,토즈모임센터 광화문점,집중하기 좋아요,
427,토즈모임센터 광화문점,화장실이 깨끗해요,
428,토즈모임센터 광화문점,주차하기 편해요,
429,토즈모임센터 광화문점,좌석이 편해요,
430,토즈모임센터 광화문점,음식이 맛있어요,
431,토즈모임센터 광화문점,매장이 넓어요,
432,토즈모임센터 광화문점,단체모임 하기 좋아요,
433,토즈모임센터 광화문점,특별한 날 가기 좋아요,
434,토즈모임센터 광화문점,재료가 신선해요,
435,토즈모임센터 광화문점,양이 많아요,
436,토즈모임센터 광화문점,혼밥하기 좋아요,
437,부빙,커피가 맛있어요,31
438,부빙,디저트가 맛있어요,233
439,부빙,빵이 맛있어요,
440,부빙,친절해요,57
441,부빙,인테리어가 멋져요,
442,부빙,매장이 청결해요,42
443,부빙,뷰가 좋아요,
444,부빙,음료가 맛있어요,
445,부빙,사진이 잘 나와요,
446,부빙,특별한 메뉴가 있어요,159
447,부빙,대화하기 좋아요,
448,부빙,가성비가 좋아요,
449,부빙,집중하기 좋아요,
450,부빙,화장실이 깨끗해요,
451,부빙,주차하기 편해요,
452,부빙,좌석이 편해요,
453,부빙,음식이 맛있어요,
454,부빙,매장이 넓어요,
455,부빙,단체모임 하기 좋아요,
456,부빙,특별한 날 가기 좋아요,
457,부빙,재료가 신선해요,
458,부빙,양이 많아요,
459,부빙,혼밥하기 좋아요,
460,카페키이로,커피가 맛있어요,90
461,카페키이로,디저트가 맛있어요,216
