,review,place_name,rating
132,친절해요,봉순이네다락방,35.0
133,친절해요,브라운팟,90.0
134,친절해요,블루보틀 성수 카페,968.0
135,친절해요,비엔나커피하우스 서울숲역점,49.0
136,친절해요,서울앵무새,441.0
137,친절해요,센터커피 서울숲점,135.0
138,친절해요,슈퍼말차 성수,126.0
139,친절해요,아우프글렛 금호점,30.0
140,친절해요,아이오쓰리 성수사거리점,75.72093023255815
141,친절해요,어라운드데이,56.0
142,친절해요,업사이드커피 뚝섬점,53.0
143,친절해요,우디집,62.0
144,친절해요,치카치카,31.0
145,친절해요,카페노티드 성수,536.7441860465116
146,친절해요,카페노티드 피치스,230.86046511627907
147,친절해요,플디 성수점,27.0
148,친절해요,하루&원데이,196.0
149,친절해요,하루노유키,54.0
150,커피가 맛있어요,5TO7,231.0
151,커피가 맛있어요,갈십리,75.0
152,커피가 맛있어요,글로우,191.0
153,커피가 맛있어요,대림창고,313.0
154,커피가 맛있어요,도렐 육지3호점,308.0
155,커피가 맛있어요,로우커피스탠드,281.0
156,커피가 맛있어요,로우키,179.0
157,커피가 맛있어요,마를리,367.0
158,커피가 맛있어요,마크69,114.5813953488372
159,커피가 맛있어요,메쉬커피,52.0
160,커피가 맛있어요,멜로워 성수플래그쉽,524.0
161,커피가 맛있어요,봉순이네다락방,58.0
162,커피가 맛있어요,브라운팟,190.13953488372093
163,커피가 맛있어요,블루보틀 성수 카페,2336.0
164,커피가 맛있어요,비엔나커피하우스 서울숲역점,144.0
165,커피가 맛있어요,서울앵무새,529.0
166,커피가 맛있어요,센터커피 서울숲점,531.0
167,커피가 맛있어요,슈퍼말차 성수,146.0
168,커피가 맛있어요,아우프글렛 금호점,77.0
169,커피가 맛있어요,아이오쓰리 성수사거리점,65.0
170,커피가 맛있어요,어라운드데이,95.0
171,커피가 맛있어요,업사이드커피 뚝섬점,117.0
172,커피가 맛있어요,오우드,262.0
173,커피가 맛있어요,옹근달,923.0
174,커피가 맛있어요,우디집,97.0
175,커피가 맛있어요,인더매스 마장,193.0
176,커피가 맛있어요,체다앤올리,106.0
177,커피가 맛있어요,카멜 성수점,276.0
178,커피가 맛있어요,카페 연무장,111.0
179,커피가 맛있어요,카페노티드 성수,249.0
180,커피가 맛있어요,카페오롯,68.0
181,커피가 맛있어요,카페온화 성수점,31.0
182,커피가 맛있어요,카페포제,89.0
183,커피가 맛있어요,키커피컴퍼니 왕십리점,92.0
184,커피가 맛있어요,플디 성수점,26.0
185,커피가 맛있어요,하루노유키,47.0
186,커피가 맛있어요,훔볼트,238.7674418604651
187,특별한 메뉴가 있어요,도렐 육지3호점,101.0
188,특별한 메뉴가 있어요,맛차차,30.790697674418606
189,특별한 메뉴가 있어요,메쉬커피,10.0
190,특별한 메뉴가 있어요,브라운팟,58.0
191,특별한 메뉴가 있어요,서울앵무새,729.0
192,특별한 메뉴가 있어요,슈퍼말차 성수,161.0
193,특별한 메뉴가 있어요,아우프글렛 금호점,26.0
194,특별한 메뉴가 있어요,업사이드커피 뚝섬점,22.0
195,특별한 메뉴가 있어요,옹근달,354.0
196,특별한 메뉴가 있어요,체다앤올리,99.0
197,특별한 메뉴가 있어요,치카치카,38.0
198,특별한 메뉴가 있어요,카페노티드 성수,507.0
199,특별한 메뉴가 있어요,카페노티드 피치스,347.0
200,특별한 메뉴가 있어요,플디 성수점,24.0
201,특별한 메뉴가 있어요,하루&원데이,162.0
202,특별한 메뉴가 있어요,하루노유키,62.69767441860465
