,place_name,review,rating,0
648,카페오롯,인테리어가 멋져요,40.0,False
651,카페오롯,음료가 맛있어요,30.0,False
654,카페오롯,대화하기 좋아요,32.0,False
667,어라운드데이,커피가 맛있어요,95.0,False
668,어라운드데이,디저트가 맛있어요,101.0,False
670,어라운드데이,친절해요,56.0,False
671,어라운드데이,인테리어가 멋져요,43.0,False
674,어라운드데이,음료가 맛있어요,60.0,False
690,훔볼트,커피가 맛있어요,238.0,False
691,훔볼트,디저트가 맛있어요,250.0,False
694,훔볼트,인테리어가 멋져요,126.0,False
695,훔볼트,매장이 청결해요,71.0,False
697,훔볼트,음료가 맛있어요,91.0,False
713,업사이드커피 뚝섬점,커피가 맛있어요,117.0,False
716,업사이드커피 뚝섬점,친절해요,53.0,False
718,업사이드커피 뚝섬점,매장이 청결해요,26.0,False
720,업사이드커피 뚝섬점,음료가 맛있어요,47.0,False
722,업사이드커피 뚝섬점,특별한 메뉴가 있어요,22.0,False
736,키커피컴퍼니 왕십리점,커피가 맛있어요,92.0,False
737,키커피컴퍼니 왕십리점,디저트가 맛있어요,99.0,False
740,키커피컴퍼니 왕십리점,인테리어가 멋져요,41.0,False
741,키커피컴퍼니 왕십리점,매장이 청결해요,43.0,False
743,키커피컴퍼니 왕십리점,음료가 맛있어요,39.0,False
759,카페온화 성수점,커피가 맛있어요,31.0,False
760,카페온화 성수점,디저트가 맛있어요,42.0,False
764,카페온화 성수점,매장이 청결해요,23.0,False
766,카페온화 성수점,음료가 맛있어요,20.0,False
774,카페온화 성수점,좌석이 편해요,18.0,False
782,오우드,커피가 맛있어요,262.0,False
783,오우드,디저트가 맛있어요,323.0,False
786,오우드,인테리어가 멋져요,192.0,False
787,오우드,매장이 청결해요,118.0,False
789,오우드,음료가 맛있어요,122.0,False
805,카페노티드 성수,커피가 맛있어요,249.0,False
806,카페노티드 성수,디저트가 맛있어요,1978.0,False
808,카페노티드 성수,친절해요,536.0,False
810,카페노티드 성수,매장이 청결해요,334.0,False
