,place_name,review,rating
142,안녕인사동,인테리어가 멋져요,
143,안녕인사동,매장이 청결해요,
144,안녕인사동,뷰가 좋아요,
145,안녕인사동,음료가 맛있어요,
146,안녕인사동,사진이 잘 나와요,
147,안녕인사동,특별한 메뉴가 있어요,
148,안녕인사동,대화하기 좋아요,
149,안녕인사동,가성비가 좋아요,
150,안녕인사동,집중하기 좋아요,
151,안녕인사동,화장실이 깨끗해요,
152,안녕인사동,주차하기 편해요,
153,안녕인사동,좌석이 편해요,
154,안녕인사동,음식이 맛있어요,
155,안녕인사동,매장이 넓어요,
156,안녕인사동,단체모임 하기 좋아요,
157,안녕인사동,특별한 날 가기 좋아요,
158,안녕인사동,재료가 신선해요,
159,안녕인사동,양이 많아요,
160,안녕인사동,혼밥하기 좋아요,
161,산모퉁이,커피가 맛있어요,144
162,산모퉁이,디저트가 맛있어요,
163,산모퉁이,빵이 맛있어요,
164,산모퉁이,친절해요,
165,산모퉁이,인테리어가 멋져요,72
166,산모퉁이,매장이 청결해요,
167,산모퉁이,뷰가 좋아요,326
168,산모퉁이,음료가 맛있어요,
169,산모퉁이,사진이 잘 나와요,123
170,산모퉁이,특별한 메뉴가 있어요,
171,산모퉁이,대화하기 좋아요,54
172,산모퉁이,가성비가 좋아요,
173,산모퉁이,집중하기 좋아요,
174,산모퉁이,화장실이 깨끗해요,
175,산모퉁이,주차하기 편해요,
176,산모퉁이,좌석이 편해요,
177,산모퉁이,음식이 맛있어요,
178,산모퉁이,매장이 넓어요,
179,산모퉁이,단체모임 하기 좋아요,
180,산모퉁이,특별한 날 가기 좋아요,
181,산모퉁이,재료가 신선해요,
182,산모퉁이,양이 많아요,
183,산모퉁이,혼밥하기 좋아요,
184,포비 광화문점,커피가 맛있어요,788
185,포비 광화문점,디저트가 맛있어요,
186,포비 광화문점,빵이 맛있어요,1583
187,포비 광화문점,친절해요,512
188,포비 광화문점,인테리어가 멋져요,
189,포비 광화문점,매장이 청결해요,266
190,포비 광화문점,뷰가 좋아요,
191,포비 광화문점,음료가 맛있어요,
192,포비 광화문점,사진이 잘 나와요,
193,포비 광화문점,특별한 메뉴가 있어요,335
194,포비 광화문점,대화하기 좋아요,
195,포비 광화문점,가성비가 좋아요,
196,포비 광화문점,집중하기 좋아요,
197,포비 광화문점,화장실이 깨끗해요,
198,포비 광화문점,주차하기 편해요,
199,포비 광화문점,좌석이 편해요,
200,포비 광화문점,음식이 맛있어요,
201,포비 광화문점,매장이 넓어요,
202,포비 광화문점,단체모임 하기 좋아요,
203,포비 광화문점,특별한 날 가기 좋아요,
204,포비 광화문점,재료가 신선해요,
205,포비 광화문점,양이 많아요,
206,포비 광화문점,혼밥하기 좋아요,
207,차마시는 뜰,커피가 맛있어요,
208,차마시는 뜰,디저트가 맛있어요,
209,차마시는 뜰,빵이 맛있어요,
210,차마시는 뜰,친절해요,219
211,차마시는 뜰,인테리어가 멋져요,164
212,차마시는 뜰,매장이 청결해요,
213,차마시는 뜰,뷰가 좋아요,192
214,차마시는 뜰,음료가 맛있어요,
215,차마시는 뜰,사진이 잘 나와요,114
216,차마시는 뜰,특별한 메뉴가 있어요,
217,차마시는 뜰,대화하기 좋아요,
218,차마시는 뜰,가성비가 좋아요,
219,차마시는 뜰,집중하기 좋아요,
220,차마시는 뜰,화장실이 깨끗해요,
221,차마시는 뜰,주차하기 편해요,
222,차마시는 뜰,좌석이 편해요,
223,차마시는 뜰,음식이 맛있어요,
224,차마시는 뜰,매장이 넓어요,
225,차마시는 뜰,단체모임 하기 좋아요,
226,차마시는 뜰,특별한 날 가기 좋아요,
227,차마시는 뜰,재료가 신선해요,
228,차마시는 뜰,양이 많아요,
229,차마시는 뜰,혼밥하기 좋아요,
230,테라로사 광화문점,커피가 맛있어요,513
231,테라로사 광화문점,디저트가 맛있어요,123
232,테라로사 광화문점,빵이 맛있어요,
233,테라로사 광화문점,친절해요,
234,테라로사 광화문점,인테리어가 멋져요,192
235,테라로사 광화문점,매장이 청결해요,123
236,테라로사 광화문점,뷰가 좋아요,
237,테라로사 광화문점,음료가 맛있어요,135
238,테라로사 광화문점,사진이 잘 나와요,
239,테라로사 광화문점,특별한 메뉴가 있어요,
240,테라로사 광화문점,대화하기 좋아요,
241,테라로사 광화문점,가성비가 좋아요,
242,테라로사 광화문점,집중하기 좋아요,
243,테라로사 광화문점,화장실이 깨끗해요,
244,테라로사 광화문점,주차하기 편해요,
245,테라로사 광화문점,좌석이 편해요,
246,테라로사 광화문점,음식이 맛있어요,
247,테라로사 광화문점,매장이 넓어요,
248,테라로사 광화문점,단체모임 하기 좋아요,
249,테라로사 광화문점,특별한 날 가기 좋아요,
250,테라로사 광화문점,재료가 신선해요,
251,테라로사 광화문점,양이 많아요,
252,테라로사 광화문점,혼밥하기 좋아요,
253,프릳츠 원서점,커피가 맛있어요,716
254,프릳츠 원서점,디저트가 맛있어요,459
255,프릳츠 원서점,빵이 맛있어요,
256,프릳츠 원서점,친절해요,
257,프릳츠 원서점,인테리어가 멋져요,291
258,프릳츠 원서점,매장이 청결해요,
259,프릳츠 원서점,뷰가 좋아요,173
260,프릳츠 원서점,음료가 맛있어요,188
261,프릳츠 원서점,사진이 잘 나와요,
262,프릳츠 원서점,특별한 메뉴가 있어요,
263,프릳츠 원서점,대화하기 좋아요,
264,프릳츠 원서점,가성비가 좋아요,
265,프릳츠 원서점,집중하기 좋아요,
266,프릳츠 원서점,화장실이 깨끗해요,
267,프릳츠 원서점,주차하기 편해요,
268,프릳츠 원서점,좌석이 편해요,
269,프릳츠 원서점,음식이 맛있어요,
270,프릳츠 원서점,매장이 넓어요,
271,프릳츠 원서점,단체모임 하기 좋아요,
272,프릳츠 원서점,특별한 날 가기 좋아요,
273,프릳츠 원서점,재료가 신선해요,
274,프릳츠 원서점,양이 많아요,
275,프릳츠 원서점,혼밥하기 좋아요,
276,카페 레이어드 안국점,커피가 맛있어요,250
277,카페 레이어드 안국점,디저트가 맛있어요,
278,카페 레이어드 안국점,빵이 맛있어요,861
279,카페 레이어드 안국점,친절해요,253
280,카페 레이어드 안국점,인테리어가 멋져요,233
281,카페 레이어드 안국점,매장이 청결해요,
282,카페 레이어드 안국점,뷰가 좋아요,
283,카페 레이어드 안국점,음료가 맛있어요,
